0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,19/05/1993,England,Old Trafford,c †A J Stewart b C C Lewis,29,55,52.73,,29,29.00,52.73
2,21/05/1993,England,Edgbaston,b P W Jarvis,14,30,46.67,,43,21.50,50.59
3,23/05/1993,England,Lord's,c †A J Stewart b A R Caddick,4,19,21.05,,47,15.67,45.19
4,12/12/1993,New Zealand,Adelaide Oval,not out,50*,98,51.02,,97,32.33,48.02
5,16/12/1993,New Zealand,Melbourne Cricket Ground,c C L Cairns b C Pringle,5,18,27.78,,102,25.50,46.36
6,19/01/1994,New Zealand,Melbourne Cricket Ground,c †T E Blain b W Watson,13,17,76.47,,115,23.00,48.52
7,21/01/1994,South Africa,Melbourne Cricket Ground,b R P Snell,20,46,43.48,,135,22.50,47.70
8,23/01/1994,South Africa,Sydney Cricket Ground,c R P Snell b A A Donald,16,25,64.00,,151,21.57,49.03
9,25/01/1994,South Africa,Sydney Cricket Ground,st D J Richardson b D B Rundle,20,70,28.57,,171,21.38,45.24
10,06/04/1994,South Africa,Newlands,lbw b C R Matthews,0,3,0.00,,171,19.00,44.88
11,14/04/1994,Sri Lanka,Sharjah Cricket Stadium,did not bat,-,-,-,,171,19.00,44.88
12,16/04/1994,New Zealand,Sharjah Cricket Stadium,c C Z Harris b C Pringle,67,106,63.21,,238,23.80,48.87
13,19/04/1994,India,Sharjah Cricket Stadium,c A Jadeja b A Kumble,48,46,104.35,,286,26.00,53.66
14,17/02/2000,New Zealand,Westpac Stadium,not out,64*,68,94.12,,350,31.82,58.24
15,19/02/2000,New Zealand,Eden Park,c D L Vettori b P J Wiseman,50,49,102.04,,400,33.33,61.54
16,23/02/2000,New Zealand,Carisbrook,c C L Cairns b C Z Harris,20,35,57.14,,420,32.31,61.31
17,01/03/2000,New Zealand,McLean Park,st C J Nevin b P J Wiseman,57,67,85.07,,477,34.07,63.43
18,03/03/2000,New Zealand,Eden Park,c R G Twose b C L Cairns,0,5,0.00,,477,31.80,63.01
19,12/04/2000,South Africa,Kingsmead,run out,0,6,0.00,,477,29.81,62.52
20,25/03/2001,India,M Chinnaswamy Stadium,lbw b V Sehwag,99,90,110.00,,576,33.88,67.53
21,28/03/2001,India,Nehru Stadium (Pune),c S C Ganguly b Z Khan,57,81,70.37,,633,35.17,67.77
22,03/04/2001,India,Indira Priyadarshini Stadium,st V Dahiya b Harbhajan Singh,111,113,98.23,,744,39.16,71.06
23,06/04/2001,India,Nehru Stadium (Margao),c S C Ganguly b J Srinath,36,42,85.71,,780,39.00,71.63
24,10/06/2001,England,County Ground (Bristol),did not bat,-,-,-,,780,39.00,71.63
25,14/06/2001,England,Old Trafford,c D Gough b A R Caddick,0,4,0.00,,780,37.14,71.36
26,19/06/2001,Pakistan,Trent Bridge,c †Rashid Latif b Waqar Younis,0,5,0.00,,780,35.45,71.04
27,21/06/2001,England,Kennington Oval,c A D Mullally b A R Caddick,8,16,50.00,,788,34.26,70.74
28,13/01/2002,South Africa,Melbourne Cricket Ground,c L Klusener b S M Pollock,10,18,55.56,,798,33.25,70.49
29,20/01/2002,South Africa,Brisbane Cricket Ground,c G Kirsten b S Elworthy,10,34,29.41,,808,32.32,69.30
30,22/03/2002,South Africa,Wanderers Stadium,c J N Rhodes b J H Kallis,27,46,58.70,,835,32.12,68.89
31,24/03/2002,South Africa,SuperSport Park,c J N Rhodes b N Boje,38,60,63.33,,873,32.33,68.63
32,27/03/2002,South Africa,Senwes Park,c H H Gibbs b N Boje,78,103,75.73,,951,33.96,69.16
33,30/03/2002,South Africa,Mangaung Oval,c †M V Boucher b R Telemachus,17,30,56.67,,968,33.38,68.90
34,03/04/2002,South Africa,Kingsmead,b M Hayward,59,91,64.84,,1027,34.23,68.65
35,06/04/2002,South Africa,St George's Park,c S M Pollock b J H Kallis,35,29,120.69,,1062,34.26,69.64
36,12/06/2002,Pakistan,Etihad Stadium,c Shoaib Malik b Mohammad Sami,45,65,69.23,,1107,34.59,69.62
37,19/06/2002,Pakistan,Brisbane Cricket Ground,lbw b Wasim Akram,5,16,31.25,,1112,33.70,69.24
38,30/08/2002,Pakistan,Gymkhana Club Ground,c Shoaib Malik b Wasim Akram,146,128,114.06,,1258,37.00,72.55
39,02/09/2002,Kenya,Gymkhana Club Ground,not out,40*,49,81.63,,1298,38.18,72.80
40,04/09/2002,Pakistan,Gymkhana Club Ground,not out,59*,48,122.92,,1357,39.91,74.11
41,05/09/2002,Kenya,Gymkhana Club Ground,did not bat,-,-,-,,1357,39.91,74.11
42,07/09/2002,Pakistan,Gymkhana Club Ground,not out,20*,24,83.33,,1377,40.50,74.23
43,15/09/2002,New Zealand,Sinhalese Sports Club Ground,b D L Vettori,43,69,62.32,,1420,40.57,73.80
44,19/09/2002,Bangladesh,Sinhalese Sports Club Ground,not out,67*,70,95.71,,1487,42.49,74.57
45,27/09/2002,Sri Lanka,R Premadasa Stadium,b P A de Silva,13,18,72.22,,1500,41.67,74.55
46,13/12/2002,England,Sydney Cricket Ground,c M E Trescothick b I D Blackwell,98,92,106.52,,1598,43.19,75.95
47,15/12/2002,England,Melbourne Cricket Ground,c G J Batty b R J Kirtley,4,11,36.36,,1602,42.16,75.74
48,22/12/2002,Sri Lanka,WACA Ground,c D P M D Jayawardene b S T Jayasuriya,64,68,94.12,,1666,42.72,76.32
49,09/01/2003,Sri Lanka,Sydney Cricket Ground,c D P M D Jayawardene b C R D Fernando,35,39,89.74,,1701,42.53,76.55
50,11/01/2003,England,Bellerive Oval,c & b S J Harmison,21,24,87.50,,1722,42.00,76.67
51,15/01/2003,Sri Lanka,Brisbane Cricket Ground,c C R D Fernando b M Muralitharan,42,54,77.78,,1764,42.00,76.70
52,21/01/2003,Sri Lanka,Melbourne Cricket Ground,not out,80*,87,91.95,,1844,43.90,77.25
53,23/01/2003,England,Sydney Cricket Ground,not out,45*,37,121.62,,1889,44.98,77.93
54,25/01/2003,England,Melbourne Cricket Ground,c sub b R C Irani,69,91,75.82,,1958,45.53,77.85
55,11/02/2003,Pakistan,Wanderers Stadium,b Wasim Akram,27,41,65.85,,1985,45.11,77.66
56,15/02/2003,India,SuperSport Park,not out,45*,49,91.84,,2030,46.14,77.93
57,20/02/2003,Netherlands,Senwes Park,c E Schiferli b T B M de Leede,33,60,55.00,,2063,45.84,77.41
58,24/02/2003,Zimbabwe,Queens Sports Club,c G W Flower b D T Hondo,34,39,87.18,,2097,45.59,77.55
59,27/02/2003,Namibia,Senwes Park,b L J Burger,88,73,120.55,,2185,46.49,78.68
60,02/03/2003,England,St George's Park,c A F Giles b A R Caddick,1,4,25.00,,2186,45.54,78.60
61,07/03/2003,Sri Lanka,SuperSport Park,c H P Tillakaratne b M Muralitharan,22,34,64.71,,2208,45.06,78.44
62,11/03/2003,New Zealand,St George's Park,c †B B McCullum b S E Bond,1,4,25.00,,2209,44.18,78.36
63,15/03/2003,Kenya,Kingsmead,c sub b P J Ongondo,20,14,142.86,,2229,43.71,78.68
64,18/03/2003,Sri Lanka,St George's Park,c H P Tillakaratne b W P U J C Vaas,20,38,52.63,,2249,43.25,78.34
65,23/03/2003,India,Wanderers Stadium,c †R Dravid b Harbhajan Singh,37,54,68.52,,2286,43.13,78.15
66,17/05/2003,West Indies,Sabina Park,c C H Gayle b M V Dillon,7,17,41.18,,2293,42.46,77.94
67,18/05/2003,West Indies,Sabina Park,c C D Collymore b O A C Banks,51,87,58.62,,2344,42.62,77.39
68,21/05/2003,West Indies,Darren Sammy National Cricket Stadium,c †C S Baugh b M V Dillon,20,14,142.86,,2364,42.21,77.69
69,24/05/2003,West Indies,Queen's Park Oval,c R O Hurley b V C Drakes,44,61,72.13,,2408,42.25,77.58
70,30/05/2003,West Indies,National Cricket Stadium (Grenada),c W W Hinds b C D Collymore,29,37,78.38,,2437,42.02,77.59
71,01/06/2003,West Indies,National Cricket Stadium (Grenada),c D E Bernard b M V Dillon,8,14,57.14,,2445,41.44,77.50
72,02/08/2003,Bangladesh,Cazaly's Stadium,not out,46*,58,79.31,,2491,42.22,77.53
