0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,28/03/2001,Australia,Nehru Stadium (Pune),run out,2,6,33.33,,2,2.00,33.33
2,31/03/2001,Australia,Nehru Stadium (Indore),c & b G D McGrath,4,5,80.00,,6,3.00,54.55
3,27/06/2001,Zimbabwe,Queens Sports Club,c G J Whittall b D T Mutendera,37,49,75.51,,43,14.33,71.67
4,30/06/2001,West Indies,Queens Sports Club,c †R D Jacobs b W W Hinds,8,23,34.78,,51,12.75,61.45
5,19/01/2002,England,Eden Gardens,b J N Snape,71,75,94.67,,122,24.40,77.22
6,22/01/2002,England,Barabati Stadium,run out,49,82,59.76,,171,28.50,71.25
7,25/01/2002,England,MA Chidambaram Stadium,c †J S Foster b M J Hoggard,21,26,80.77,,192,27.43,72.18
8,28/01/2002,England,Green Park,not out,17*,17,100.00,,209,29.86,73.85
9,31/01/2002,England,Arun Jaitley Stadium,c †J S Foster b A Flintoff,20,33,60.61,,229,28.63,72.47
10,03/02/2002,England,Wankhede Stadium,st J S Foster b M P Vaughan,35,56,62.50,,264,29.33,70.97
11,07/03/2002,Zimbabwe,Nahar Singh Stadium,c †T Taibu b H H Streak,25,24,104.17,,289,28.90,72.98
12,10/03/2002,Zimbabwe,Punjab Cricket Association IS Bindra Stadium,c T J Friend b D A Marillier,45,52,86.54,,334,30.36,74.55
13,13/03/2002,Zimbabwe,Nehru Stadium (Kochi),lbw b D T Hondo,4,14,28.57,,338,28.17,73.16
14,16/03/2002,Zimbabwe,Lal Bahadur Shastri Stadium,c A D R Campbell b T J Friend,30,32,93.75,,368,28.31,74.49
15,19/03/2002,Zimbabwe,Nehru Stadium (Guwahati),not out,159*,147,108.16,,527,40.54,82.22
16,29/05/2002,West Indies,Kensington Oval,c S Chanderpaul b R O Hinds,74,104,71.15,,601,42.93,80.67
17,01/06/2002,West Indies,Queen's Park Oval,b C E Cuffy,13,12,108.33,,614,40.93,81.11
18,02/06/2002,West Indies,Queen's Park Oval,c C H Gayle b C D Collymore,28,37,75.68,,642,40.13,80.86
19,29/06/2002,England,Lord's,b A F Giles,1,5,20.00,,643,37.82,80.48
20,30/06/2002,Sri Lanka,Kennington Oval,c W P U J C Vaas b C R D Fernando,33,55,60.00,,676,37.56,79.16
21,04/07/2002,England,Riverside Ground,c A Flintoff b D Gough,27,38,71.05,,703,37.00,78.81
22,06/07/2002,Sri Lanka,Edgbaston,c S T Jayasuriya b W P U J C Vaas,5,30,16.67,,708,35.40,76.79
23,11/07/2002,Sri Lanka,County Ground (Bristol),b T T Samaraweera,48,63,76.19,,756,36.00,76.75
24,13/07/2002,England,Lord's,c †A J Stewart b R C Irani,9,15,60.00,,765,34.77,76.50
25,14/09/2002,Zimbabwe,R Premadasa Stadium,c A D R Campbell b D T Hondo,0,4,0.00,,765,33.26,76.20
26,29/09/2002,Sri Lanka,R Premadasa Stadium,not out,1*,7,14.29,,766,33.30,75.77
27,30/09/2002,Sri Lanka,R Premadasa Stadium,c D P M D Jayawardene b W P U J C Vaas,0,9,0.00,,766,31.92,75.10
28,21/11/2002,West Indies,Barkatullah Khan Stadium,c †R D Jacobs b V C Drakes,5,17,29.41,,771,30.84,74.35
29,24/11/2002,West Indies,Indira Gandhi Stadium,b J J C Lawson,20,31,64.52,,791,30.42,74.06
30,04/01/2003,New Zealand,Queenstown Events Centre,c D L Vettori b A R Adams,12,20,60.00,,803,29.74,73.81
31,08/01/2003,New Zealand,Westpac Stadium,b S E Bond,2,10,20.00,,805,28.75,73.32
32,14/01/2003,New Zealand,Seddon Park,c S P Fleming b D R Tuffey,0,1,0.00,,805,27.76,73.25
33,12/02/2003,Netherlands,Boland Park,run out,42,49,85.71,,847,28.23,73.78
34,15/02/2003,Australia,SuperSport Park,c A Symonds b B Lee,13,39,33.33,,860,27.74,72.45
35,19/02/2003,Zimbabwe,Harare Sports Club,c D T Hondo b G W Flower,12,37,32.43,,872,27.25,71.24
36,23/02/2003,Namibia,City Oval,did not bat,-,-,-,,872,27.25,71.24
37,26/02/2003,England,Kingsmead,lbw b P D Collingwood,32,66,48.48,,904,27.39,70.08
38,01/03/2003,Pakistan,SuperSport Park,did not bat,-,-,-,,904,27.39,70.08
39,07/03/2003,Kenya,Newlands,did not bat,-,-,-,,904,27.39,70.08
40,10/03/2003,Sri Lanka,Wanderers Stadium,c P A de Silva b M Muralitharan,9,7,128.57,,913,26.85,70.39
41,14/03/2003,New Zealand,SuperSport Park,did not bat,-,-,-,,913,26.85,70.39
42,20/03/2003,Kenya,Kingsmead,did not bat,-,-,-,,913,26.85,70.39
43,23/03/2003,Australia,Wanderers Stadium,c D R Martyn b A Symonds,12,11,109.09,,925,26.43,70.72
44,11/04/2003,Bangladesh,Bangabandhu National Stadium,lbw b Alok Kapali,3,8,37.50,,928,25.78,70.52
45,13/04/2003,South Africa,Bangabandhu National Stadium,not out,55*,38,144.74,,983,27.31,72.60
46,16/04/2003,Bangladesh,Bangabandhu National Stadium,not out,16*,12,133.33,,999,27.75,73.13
47,18/04/2003,South Africa,Bangabandhu National Stadium,c N D McKenzie b A C Dawson,29,46,63.04,,1028,27.78,72.80
48,21/04/2003,South Africa,Bangabandhu National Stadium,did not bat,-,-,-,,1028,27.78,72.80
49,26/12/2004,Bangladesh,Bangabandhu National Stadium,lbw b Tapash Baisya,12,18,66.67,,1040,27.37,72.73
50,15/04/2005,Pakistan,Green Park,not out,33*,28,117.86,,1073,28.24,73.59
51,17/04/2005,Pakistan,Arun Jaitley Stadium,c Younis Khan b Arshad Khan,0,4,0.00,,1073,27.51,73.39
52,22/09/2006,Australia,Kinrara Academy Oval,not out,63*,90,70.00,,1136,29.13,73.20
53,29/10/2006,Australia,Punjab Cricket Association IS Bindra Stadium,c M E K Hussey b S R Watson,18,30,60.00,,1154,28.85,72.95
54,22/11/2006,South Africa,Kingsmead,c J M Kemp b J H Kallis,1,9,11.11,,1155,28.17,72.60
55,03/12/2006,South Africa,SuperSport Park,b J M Kemp,41,89,46.07,,1196,28.48,71.19
56,10/05/2007,Bangladesh,Shere Bangla National Stadium,c Aftab Ahmed b Shakib Al Hasan,17,25,68.00,,1213,28.21,71.14
57,12/05/2007,Bangladesh,Shere Bangla National Stadium,c Mohammad Rafique b Abdur Razzak,17,16,106.25,,1230,27.95,71.47
No. of Innings Played = 51,No. of Innings Played = 51,No. of Innings Played = 51,No. of Innings Played = 51,No. of Innings Played = 51,No. of Innings Played = 51,No. of Innings Played = 51,No. of Innings Played = 51,No. of Innings Played = 51,No. of Innings Played = 51,,
