0,1,2,3,4,5,6,7,8,9,10,11
Position,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Opening,4,0,0,0,1,25,49,12.25,31.41,1,0
Overall,4,0,0,0,1,25,49,12.25,31.41,1,0
