0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,10/11/1998,Pakistan,Gaddafi Stadium,did not bat,-,-,-,,0,,
2,22/08/1999,Sri Lanka,Galle International Stadium,run out,8,6,133.33,,8,8.00,133.33
3,23/08/1999,India,Galle International Stadium,not out,68*,68,100.00,,76,76.00,102.70
4,26/08/1999,Sri Lanka,R Premadasa Stadium,c M Muralitharan b R P Arnold,14,15,93.33,,90,45.00,101.12
5,28/08/1999,India,Sinhalese Sports Club Ground,c †R Dravid b J Srinath,45,60,75.00,,135,45.00,90.60
6,31/08/1999,Sri Lanka,R Premadasa Stadium,not out,22*,39,56.41,,157,52.33,83.51
7,21/10/1999,Zimbabwe,Queens Sports Club,c G W Flower b A M Blignaut,1,3,33.33,,158,39.50,82.72
8,23/10/1999,Zimbabwe,Harare Sports Club,did not bat,-,-,-,,158,39.50,82.72
9,24/10/1999,Zimbabwe,Harare Sports Club,did not bat,-,-,-,,158,39.50,82.72
10,09/01/2000,Pakistan,Brisbane Cricket Ground,c Mohammad Wasim b Abdul Razzaq,0,1,0.00,,158,31.60,82.29
11,12/01/2000,India,Melbourne Cricket Ground,run out,3,4,75.00,,161,26.83,82.14
12,14/01/2000,India,Sydney Cricket Ground,not out,28*,32,87.50,,189,31.50,82.89
13,16/01/2000,Pakistan,Melbourne Cricket Ground,did not bat,-,-,-,,189,31.50,82.89
14,19/01/2000,Pakistan,Sydney Cricket Ground,c Azhar Mahmood b Abdul Razzaq,47,26,180.77,,236,33.71,92.91
15,23/01/2000,Pakistan,Melbourne Cricket Ground,c †Moin Khan b Shoaib Akhtar,35,36,97.22,,271,33.88,93.45
16,26/01/2000,India,Adelaide Oval,c R Dravid b J Srinath,26,15,173.33,,297,33.00,97.38
17,02/02/2000,Pakistan,Melbourne Cricket Ground,did not bat,-,-,-,,297,33.00,97.38
18,04/02/2000,Pakistan,Sydney Cricket Ground,st Moin Khan b Saqlain Mushtaq,45,45,100.00,,342,34.20,97.71
19,17/02/2000,New Zealand,Westpac Stadium,did not bat,-,-,-,,342,34.20,97.71
20,19/02/2000,New Zealand,Eden Park,c S B Styris b D L Vettori,33,26,126.92,,375,34.09,99.73
21,23/02/2000,New Zealand,Carisbrook,not out,34*,13,261.54,,409,37.18,105.14
22,26/02/2000,New Zealand,AMI Stadium,run out,0,1,0.00,,409,34.08,104.87
23,03/03/2000,New Zealand,Eden Park,run out,6,9,66.67,,415,31.92,104.01
24,12/04/2000,South Africa,Kingsmead,c †M V Boucher b M Ntini,20,13,153.85,,435,31.07,105.58
25,14/04/2000,South Africa,Newlands,not out,19*,23,82.61,,454,32.43,104.37
26,16/04/2000,South Africa,Wanderers Stadium,c A J Hall b L Klusener,6,11,54.55,,460,30.67,103.14
27,18/08/2000,South Africa,Etihad Stadium,b L Klusener,17,25,68.00,,477,29.81,101.27
28,11/01/2001,West Indies,Melbourne Cricket Ground,not out,38*,26,146.15,,515,32.19,103.62
29,14/01/2001,West Indies,Brisbane Cricket Ground,did not bat,-,-,-,,515,32.19,103.62
30,17/01/2001,West Indies,Sydney Cricket Ground,did not bat,-,-,-,,515,32.19,103.62
31,21/01/2001,Zimbabwe,Melbourne Cricket Ground,did not bat,-,-,-,,515,32.19,103.62
32,26/01/2001,West Indies,Adelaide Oval,did not bat,-,-,-,,515,32.19,103.62
33,28/01/2001,Zimbabwe,Sydney Cricket Ground,b D P Viljoen,22,13,169.23,,537,31.59,105.29
34,30/01/2001,Zimbabwe,Bellerive Oval,c D P Viljoen b B A Murphy,60,47,127.66,,597,33.17,107.18
35,07/02/2001,West Indies,Sydney Cricket Ground,c †R D Jacobs b N A M McLean,8,10,80.00,,605,31.84,106.70
36,09/02/2001,West Indies,Melbourne Cricket Ground,c M V Nagamootoo b C E Cuffy,7,10,70.00,,612,30.60,106.07
37,28/03/2001,India,Nehru Stadium (Pune),did not bat,-,-,-,,612,30.60,106.07
38,31/03/2001,India,Nehru Stadium (Indore),c †V Dahiya b A B Agarkar,5,6,83.33,,617,29.38,105.83
39,06/04/2001,India,Nehru Stadium (Margao),c H K Badani b J Srinath,7,9,77.78,,624,28.36,105.41
40,09/06/2001,Pakistan,Sophia Gardens,did not bat,-,-,-,,624,28.36,105.41
41,10/06/2001,England,County Ground (Bristol),b D Gough,23,15,153.33,,647,28.13,106.59
42,14/06/2001,England,Old Trafford,c M P Vaughan b A D Mullally,11,15,73.33,,658,27.42,105.79
43,19/06/2001,Pakistan,Trent Bridge,c sub b Waqar Younis,35,49,71.43,,693,27.72,103.28
44,21/06/2001,England,Kennington Oval,did not bat,-,-,-,,693,27.72,103.28
45,13/01/2002,South Africa,Melbourne Cricket Ground,c H H Gibbs b J H Kallis,0,2,0.00,,693,26.65,102.97
46,20/01/2002,South Africa,Brisbane Cricket Ground,c J N Rhodes b N Boje,3,6,50.00,,696,25.78,102.50
47,22/01/2002,South Africa,Sydney Cricket Ground,did not bat,-,-,-,,696,25.78,102.50
48,26/01/2002,New Zealand,Adelaide Oval,c B B McCullum b C Z Harris,11,13,84.62,,707,25.25,102.17
49,05/09/2002,Kenya,Gymkhana Club Ground,run out,43,59,72.88,,750,25.86,99.87
50,09/01/2003,Sri Lanka,Sydney Cricket Ground,c H P Tillakaratne b M Muralitharan,4,9,44.44,,754,25.13,99.21
51,19/01/2003,England,Adelaide Oval,st A J Stewart b I D Blackwell,0,3,0.00,,754,24.32,98.82
52,21/01/2003,Sri Lanka,Melbourne Cricket Ground,did not bat,-,-,-,,754,24.32,98.82
53,23/01/2003,England,Sydney Cricket Ground,did not bat,-,-,-,,754,24.32,98.82
54,25/01/2003,England,Melbourne Cricket Ground,b R C Irani,8,29,27.59,,762,23.81,96.21
55,11/02/2003,Pakistan,Wanderers Stadium,not out,143*,125,114.40,,905,28.28,98.69
56,15/02/2003,India,SuperSport Park,did not bat,-,-,-,,905,28.28,98.69
57,20/02/2003,Netherlands,Senwes Park,did not bat,-,-,-,,905,28.28,98.69
58,24/02/2003,Zimbabwe,Queens Sports Club,did not bat,-,-,-,,905,28.28,98.69
59,27/02/2003,Namibia,Senwes Park,run out,59,63,93.65,,964,29.21,98.37
60,02/03/2003,England,St George's Park,c & b A F Giles,0,5,0.00,,964,28.35,97.87
61,15/03/2003,Kenya,Kingsmead,not out,33*,49,67.35,,997,29.32,96.42
62,18/03/2003,Sri Lanka,St George's Park,not out,91*,118,77.12,,1088,32.00,94.44
63,23/03/2003,India,Wanderers Stadium,did not bat,-,-,-,,1088,32.00,94.44
64,17/05/2003,West Indies,Sabina Park,c M V Dillon b O A C Banks,18,35,51.43,,1106,31.60,93.18
65,18/05/2003,West Indies,Sabina Park,not out,17*,26,65.38,,1123,32.09,92.58
66,21/05/2003,West Indies,Darren Sammy National Cricket Stadium,b C H Gayle,75,82,91.46,,1198,33.28,92.51
67,24/05/2003,West Indies,Queen's Park Oval,b C D Collymore,24,28,85.71,,1222,33.03,92.37
68,25/05/2003,West Indies,Queen's Park Oval,b M N Samuels,77,85,90.59,,1299,34.18,92.26
69,30/05/2003,West Indies,National Cricket Stadium (Grenada),c B C Lara b R R Sarwan,16,27,59.26,,1315,33.72,91.64
70,01/06/2003,West Indies,National Cricket Stadium (Grenada),c W W Hinds b C H Gayle,48,70,68.57,,1363,34.08,90.56
71,02/08/2003,Bangladesh,Cazaly's Stadium,did not bat,-,-,-,,1363,34.08,90.56
72,03/08/2003,Bangladesh,Cazaly's Stadium,c Sanwar Hossain b Hasibul Hussain,7,14,50.00,,1370,33.41,90.19
73,06/08/2003,Bangladesh,Marrara Cricket Ground,run out,0,5,0.00,,1370,32.62,89.90
74,26/10/2003,India,Captain Roop Singh Stadium,lbw b Z Khan,1,6,16.67,,1371,31.88,89.61
75,29/10/2003,New Zealand,Nahar Singh Stadium,did not bat,-,-,-,,1371,31.88,89.61
76,01/11/2003,India,Wankhede Stadium,c Harbhajan Singh b Yuvraj Singh,48,59,81.36,,1419,32.25,89.30
77,03/11/2003,New Zealand,Nehru Stadium (Pune),not out,37*,39,94.87,,1456,33.09,89.43
