0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,19/07/2015,Sri Lanka,R Premadasa Stadium,did not bat,-,-,-,,0,,
2,22/07/2015,Sri Lanka,R Premadasa Stadium,did not bat,-,-,-,,0,,
3,26/07/2015,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,c & b S M S M Senanayake,15,17,88.24,,15,15.00,88.24
4,01/10/2015,Zimbabwe,Harare Sports Club,run out,61,61,100.00,,76,38.00,97.44
5,05/10/2015,Zimbabwe,Harare Sports Club,did not bat,-,-,-,,76,38.00,97.44
6,25/01/2016,New Zealand,Basin Reserve,c †L Ronchi b M J Santner,1,4,25.00,,77,25.67,93.90
7,18/08/2016,Ireland,The Village,not out,0*,2,0.00,,77,25.67,91.67
8,24/08/2016,England,The Rose Bowl,not out,17*,20,85.00,,94,31.33,90.38
9,27/08/2016,England,Lord's,not out,63*,70,90.00,,157,52.33,90.23
10,01/09/2016,England,Headingley,not out,57*,41,139.02,,214,71.33,99.53
11,04/09/2016,England,Sophia Gardens,not out,16*,19,84.21,,230,76.67,98.29
12,30/09/2016,West Indies,Sharjah Cricket Stadium,b C R Brathwaite,24,24,100.00,,254,63.50,98.45
13,02/10/2016,West Indies,Sharjah Cricket Stadium,b J O Holder,11,9,122.22,,265,53.00,99.25
14,05/10/2016,West Indies,Sheikh Zayed Stadium,c D M Bravo b A S Joseph,4,6,66.67,,269,44.83,98.53
15,13/01/2017,Australia,Brisbane Cricket Ground,c D A Warner b M R Marsh,29,36,80.56,,298,42.57,96.44
16,15/01/2017,Australia,Melbourne Cricket Ground,did not bat,-,-,-,,298,42.57,96.44
17,19/01/2017,Australia,WACA Ground,c T M Head b P J Cummins,9,13,69.23,,307,38.38,95.34
18,22/01/2017,Australia,Sydney Cricket Ground,c †M S Wade b J R Hazlewood,25,17,147.06,,332,36.89,97.94
19,07/04/2017,West Indies,Providence Stadium,not out,6*,6,100.00,,338,37.56,97.97
20,09/04/2017,West Indies,Providence Stadium,not out,43*,35,122.86,,381,42.33,100.26
21,11/04/2017,West Indies,Providence Stadium,did not bat,-,-,-,,381,42.33,100.26
22,04/06/2017,India,Edgbaston,c K M Jadhav b H H Pandya,0,1,0.00,,381,38.10,100.00
23,07/06/2017,South Africa,Edgbaston,did not bat,-,-,-,,381,38.10,100.00
24,12/06/2017,Sri Lanka,Sophia Gardens,c †N Dickwella b N Pradeep,4,3,133.33,,385,35.00,100.26
25,14/06/2017,England,Sophia Gardens,did not bat,-,-,-,,385,35.00,100.26
26,18/06/2017,India,Kennington Oval,not out,25*,21,119.05,,410,37.27,101.23
27,13/10/2017,Sri Lanka,Dubai International Cricket Stadium,not out,10*,5,200.00,,420,38.18,102.44
28,16/10/2017,Sri Lanka,Sheikh Zayed Stadium,lbw b J D F Vandersay,10,26,38.46,,430,35.83,98.62
29,20/10/2017,Sri Lanka,Sharjah Cricket Stadium,did not bat,-,-,-,,430,35.83,98.62
30,23/10/2017,Sri Lanka,Sharjah Cricket Stadium,did not bat,-,-,-,,430,35.83,98.62
31,07/11/2018,New Zealand,Sheikh Zayed Stadium,c C de Grandhomme b T G Southee,50,72,69.44,,480,36.92,94.49
32,09/11/2018,New Zealand,Sheikh Zayed Stadium,did not bat,-,-,-,,480,36.92,94.49
33,19/01/2019,South Africa,St George's Park,did not bat,-,-,-,,480,36.92,94.49
34,25/01/2019,South Africa,SuperSport Park,not out,43*,23,186.96,,523,40.23,98.49
35,27/01/2019,South Africa,Wanderers Stadium,did not bat,-,-,-,,523,40.23,98.49
36,30/01/2019,South Africa,Newlands,not out,47*,31,151.61,,570,43.85,101.42
37,22/03/2019,Australia,Sharjah Cricket Stadium,not out,28*,13,215.38,,598,46.00,104.00
38,23/03/2019,Australia,Sharjah Cricket Stadium,not out,19*,10,190.00,,617,47.46,105.47
39,27/03/2019,Australia,Sheikh Zayed Stadium,st A T Carey b A Zampa,43,53,81.13,,660,47.14,103.45
40,29/03/2019,Australia,Dubai International Cricket Stadium,c S E Marsh b K W Richardson,1,5,20.00,,661,44.07,102.80
41,31/03/2019,Australia,Dubai International Cricket Stadium,not out,50*,34,147.06,,711,47.40,105.02
42,08/05/2019,England,Kennington Oval,did not bat,-,-,-,,711,47.40,105.02
43,11/05/2019,England,The Rose Bowl,c †J C Buttler b D J Willey,8,4,200.00,,719,44.94,105.58
44,14/05/2019,England,County Ground (Bristol),c & b C R Woakes,22,12,183.33,,741,43.59,106.93
45,17/05/2019,England,Trent Bridge,b T K Curran,12,9,133.33,,753,41.83,107.26
46,19/05/2019,England,Headingley,c †J C Buttler b C R Woakes,25,21,119.05,,778,40.95,107.61
47,31/05/2019,West Indies,Trent Bridge,c C H Gayle b J O Holder,1,3,33.33,,779,38.95,107.30
48,16/06/2019,India,Old Trafford,not out,46*,39,117.95,,825,41.25,107.84
49,23/06/2019,South Africa,Lord's,c sub b L Ngidi,23,15,153.33,,848,40.38,108.72
50,26/06/2019,New Zealand,Edgbaston,did not bat,-,-,-,,848,40.38,108.72
51,29/06/2019,Afghanistan,Headingley,not out,49*,54,90.74,,897,42.71,107.55
52,05/07/2019,Bangladesh,Lord's,c Mahmudullah b Mustafizur Rahman,43,26,165.38,,940,42.73,109.30
53,30/09/2019,Sri Lanka,National Stadium (Karachi),c B O P Fernando b I Udana,12,8,150.00,,952,41.39,109.68
No. of Innings Played = 39,No. of Innings Played = 39,No. of Innings Played = 39,No. of Innings Played = 39,No. of Innings Played = 39,No. of Innings Played = 39,No. of Innings Played = 39,No. of Innings Played = 39,No. of Innings Played = 39,No. of Innings Played = 39,,
